Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2.021E+11;3;981;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;80
2.021E+11;3;20;0;E;2;2;0;1;0;10;1;;-1;1;0;1;80
2.021E+11;4;GENERAL GALLIENI (BOULEVARD DU);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;3;GENERAL GALLIENI (BOULEVARD DU);0;N/A;2;4;0;1;0;1;1;;-1;1;0;1;50
2.021E+11;7;PARIS. ROUTE DE;-1;N/A;2;2;-1;1;11;150;1;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;4;1;0;1;50
2.021E+11;4;REPUBLIQUE (PLACE DE LA);0;N/A;2;0;0;1;0;1;1;;-1;1;5;1;50
2.021E+11;2;1;0;N/A;2;2;0;1;5;500;1;;-1;1;0;1;40
2.021E+11;3;REPUBLIQUE (RUE DE LA) NÂ° 47 A 85;0;N/A;2;3;0;1;0;0;1;;-1;2;0;1;50
2.021E+11;2;VAILLANT COUTURIER (AVENUE PAUL);0;N/A;1;4;3;1;-1;-1;1;;-1;1;3;6;50
2.021E+11;3;VAILLANT COUTURIER (AVENUE PAUL);0;N/A;2;4;0;1;0;0;3;;-1;1;9;1;50
2.021E+11;3;20;0;D;2;2;0;1;2;100;2;;-1;1;0;1;80
2.021E+11;2;2;0;N/A;3;4;3;1;10;50;1;;-1;1;0;1;110
2.021E+11;3;39;0;N/A;2;4;0;4;0;0;1;;-1;1;0;1;50
2.021E+11;3;19;-1;N/A;2;2;0;1;39;0;1;;-1;1;0;1;90
2.021E+11;3;15;-1;N/A;2;2;0;1;24;700;1;;-1;2;0;8;50
2.021E+11;1;26;0;N/A;3;4;0;1;259;950;1;;-1;1;0;1;130
2.021E+11;1;N/A;-1;N/A;2;4;-1;1;204;0;1;;-1;1;7;1;90
2.021E+11;3;201;-1;N/A;2;2;0;2;20;165;3;;-1;1;0;1;80
2.021E+11;3;AV FRANCOIS MITTERRAND;0;N/A;3;5;0;1;56;0;1;;-1;1;0;1;50
2.021E+11;4;CARNOT (AVENUE);0;N/A;2;2;0;1;-1;-1;1;;-1;1;5;1;50
2.021E+11;3;AV FRANCOIS MITTERRAND;0;N/A;-1;2;0;1;-1;-1;1;;-1;1;1;1;50
2.021E+11;3;RUE DES 5 EME ET 15 EME B.C.P.;0;N/A;2;2;0;1;0;100;1;;-1;1;0;1;30
2.021E+11;3;NAVES (RUE DE);0;N/A;3;2;0;1;-1;-1;1;;-1;1;0;1;40
2.021E+11;3;435;0;N/A;2;2;0;2;4;900;2;;-1;2;0;1;80
2.021E+11;1;6;-1;N/A;3;4;0;1;234;500;1;;-1;1;0;1;130
2.021E+11;3;965;0;N/A;2;2;0;2;24;300;1;;-1;1;0;1;90
2.021E+11;4;GOSSELIN ( RUE ALFRED );0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;4;FAIDHERBE ( BOULEVARD );0;N/A;1;2;0;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;3;SAINTE CROIX (RUE DU FAUBOURG);0;N/A;2;3;0;2;0;0;1;;-1;1;0;1;50
2.021E+11;3;CD940;0;N/A;-1;1;0;1;9;378;1;;-1;1;9;8;10
2.021E+11;2;RN 184;0;N/A;1;2;0;1;0;0;1;;-1;2;0;1;70
2.021E+11;4;PRADO (AVENUE DU);0;N/A;1;6;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;GRANDS CHAMPS RUE DES;0;N/A;2;1;0;1;0;0;1;;-1;1;0;4;50
2.021E+11;4;LASHERMES (RUE);-1;N/A;1;1;-1;1;-1;-1;1;;-1;1;0;8;50
2.021E+11;3;902;0;D;2;2;0;2;91;500;3;;-1;2;0;3;80
2.021E+11;4;N/A;-1;N/A;2;2;0;2;-1;-1;1;;-1;1;5;1;50
2.021E+11;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;PISANI (boulevard Edgard);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;CHARLES DE GAULLE (AV);0;N/A;-1;4;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;3;406;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;3;N/A;-1;N/A;2;2;0;1;5;793;1;;-1;1;0;1;70
2.021E+11;3;D6;0;N/A;2;2;0;1;28;550;3;;-1;2;0;1;80
2.021E+11;2;N/A;-1;N/A;3;4;0;1;7;190;1;;-1;1;8;1;70
2.021E+11;3;JEAN JAURES (AVE) 55 A 129;0;N/A;2;7;3;1;0;0;1;;-1;1;0;1;50
2.021E+11;3;N/A;-1;N/A;2;2;2;2;43;930;3;;-1;1;-1;1;50
2.021E+11;4;SAINT HONORE;0;N/A;2;0;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;3;184;-1;N/A;2;1;0;1;3;250;1;;3;1;0;1;80
2.021E+11;3;LATTRE DE TASSIGNY AVENUE DE L';0;N/A;1;2;2;1;18;40;1;;-1;1;2;1;50
2.021E+11;3;PASTEUR(PLACE);0;N/A;2;0;0;1;0;320;1;;-1;1;0;1;50
2.021E+11;4;SQUARE DE L HERACLES;0;N/A;2;2;0;1;-1;-1;1;;-1;1;2;1;50
2.021E+11;4;BOBILLOT (RUE DU SERGENT);0;N/A;2;2;0;1;-1;-1;1;;-1;1;9;1;50
2.021E+11;3;BRUYERES (RTE DES...NÂ°97et+ ET 66 et+ );-1;N/A;3;2;0;3;60;165;1;;-1;1;9;8;50
2.021E+11;3;RECHERCHANT (RUE ADRIEN) (2);0;N/A;2;2;0;1;-1;-1;1;;-1;1;9;1;50
2.021E+11;4;HUBERT DE LISLE(BOULEVARD);0;N/A;1;1;2;1;0;0;1;;-1;1;0;5;50
2.021E+11;9;ANCIENNE RN 1;0;N/A;2;2;0;1;30;0;1;;-1;1;9;8;70
2.021E+11;7;RIVE DE GIER (DE) (RTE);0;N/A;2;2;0;1;4;900;3;;-1;2;0;1;80
2.021E+11;4;NOTRE DAME DU THIL (RUE);0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;3;N/A;-1;N/A;2;2;0;1;0;600;3;;-1;1;0;8;80
2.021E+11;7;21;-1;N/A;2;2;0;1;0;0;1;;-1;1;5;1;80
2.021E+11;4;BERTHO ( RUE HENRI );0;N/A;2;2;0;1;-1;-1;1;;-1;1;5;1;70
2.021E+11;4;LILAS ( AVENUE DES );0;N/A;2;1;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;3;675;-1;N/A;2;1;0;2;74;-1;1;;-1;1;0;1;80
2.021E+11;1;N/A;-1;N/A;2;-1;-1;1;92;600;1;;-1;1;0;1;-1
2.021E+11;9;LILATTES;0;N/A;-1;1;3;1;0;0;1;;-1;1;6;6;5
2.021E+11;4;DIEDERICHS;0;N/A;2;2;0;1;-1;-1;1;;-1;2;9;1;50
2.021E+11;3;ALBERT THOMAS(RUE);0;N/A;2;2;0;1;1;750;1;;-1;1;0;1;50
2.021E+11;3;14;0;A;2;2;0;2;1;870;3;;-1;2;0;3;80
2.021E+11;4;N/A;0;N/A;2;2;1;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;4;N/A;-1;N/A;2;2;-1;1;-1;-1;1;;5,5;1;0;1;-1
2.021E+11;4;DUPONT ALPHONSE (RUE);0;N/A;1;0;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;1;N/A;-1;N/A;1;3;-1;1;1;600;1;;-1;1;0;1;70
2.021E+11;3;LIBERATION (AV. DE LA);0;N/A;2;2;0;1;14;780;1;;-1;1;0;4;50
2.021E+11;4;ONZE NOVEMBRE 1918 (RD PT DU);0;N/A;1;2;0;2;-1;-1;3;;-1;1;2;1;50
2.021E+11;1;13;0;A;3;3;0;1;74;0;1;;-1;1;0;1;130
